Model,CV_Accuracy,CV_Accuracy_Std,CV_F1,CV_F1_Std,CV_ROC_AUC,CV_ROC_AUC_Std,Test_Accuracy,Test_F1,Test_ROC_AUC,Test_Precision,Test_Recall
XGBoost,0.9080314422419684,0.017879657618954256,0.9151743369007335,0.016437820927831075,0.9751541955816974,0.011385760703966772,0.9022556390977443,0.9103448275862069,0.9793378995433789,0.9166666666666666,0.9041095890410958
Random Forest,0.8944748234221919,0.01815302958192603,0.9041112308024848,0.01650242717506207,0.961277635889895,0.013408353682659193,0.8796992481203008,0.8918918918918919,0.9699771689497717,0.88,0.9041095890410958
SVM (RBF),0.8778992936887674,0.029279858572433447,0.8889507678593137,0.025894965583728582,0.9241645920938352,0.026771927871752702,0.8872180451127819,0.8993288590604027,0.9373287671232877,0.881578947368421,0.9178082191780822
