Model,CV_Accuracy,CV_Accuracy_Std,CV_F1,CV_F1_Std,CV_ROC_AUC,CV_ROC_AUC_Std,Test_Accuracy,Test_F1,Test_ROC_AUC,Test_Precision,Test_Recall,TN,FP,FN,TP
XGBoost,0.8325814536340852,0.0055562005263164885,0.8501085692572532,0.0064993293022738916,0.916307910679428,0.010284615015646656,0.8195488721804511,0.8333333333333334,0.9234018264840183,0.8450704225352113,0.821917808219178,49,11,13,60
Random Forest,0.7752107541581226,0.048700020902094354,0.7804680036895079,0.05324270943604271,0.8764308909269148,0.03221135557881936,0.7443609022556391,0.7424242424242424,0.8829908675799087,0.8305084745762712,0.6712328767123288,50,10,24,49
SVM (RBF),0.6937457279562542,0.06661146641200216,0.6762983356275811,0.07872171735267554,0.7802489218670725,0.05316383338329959,0.6917293233082706,0.672,0.8131278538812785,0.8076923076923077,0.5753424657534246,50,10,31,42
