Group,N_Samples,Mean_Max_CADD,Std_Max_CADD,Mean_Max_REVEL,Std_Max_REVEL,Mean_Max_SpliceAI,Std_Max_SpliceAI
Poor_Metabolizer,364,26.59368131868132,3.2174521801840754,0.6740879120879122,0.13491392202014313,0.016071428571428577,0.011675377644111772
Intermediate_Metabolizer,299,24.20903010033445,2.269557520314721,0.5531471571906356,0.12717642880622468,0.011906354515050167,0.004851270478590909
Indeterminate,2184,24.90604395604396,2.632253538277732,0.5902706043956043,0.12404726441148023,0.01641025641025641,0.02569649496585463
